,nodes,rho,network,beta,lambda,physical_infectivity,factor,hidden_infectivity,aware,infected
129,1000,0.2,barabassi,0.3157894736842105,0.47368421052631576,0.4,0.01,0.6,0.8483870967741935,0.5018709677419355
130,1000,0.2,barabassi,0.3157894736842105,0.5263157894736842,0.4,0.01,0.6,0.8472258064516129,0.5025161290322581
131,1000,0.2,barabassi,0.3157894736842105,0.5789473684210527,0.4,0.01,0.6,0.849516129032258,0.5034516129032258
132,1000,0.2,barabassi,0.3157894736842105,0.631578947368421,0.4,0.01,0.6,0.8500645161290323,0.4981935483870968
133,1000,0.2,barabassi,0.3157894736842105,0.6842105263157894,0.4,0.01,0.6,0.852,0.5014516129032258
134,1000,0.2,barabassi,0.3157894736842105,0.7368421052631579,0.4,0.01,0.6,0.8467096774193549,0.4987096774193548
135,1000,0.2,barabassi,0.3157894736842105,0.7894736842105263,0.4,0.01,0.6,0.8503548387096774,0.5037096774193548
136,1000,0.2,barabassi,0.3157894736842105,0.8421052631578947,0.4,0.01,0.6,0.8478387096774194,0.4996129032258065
137,1000,0.2,barabassi,0.3157894736842105,0.894736842105263,0.4,0.01,0.6,0.8486774193548386,0.500774193548387
138,1000,0.2,barabassi,0.3157894736842105,0.9473684210526315,0.4,0.01,0.6,0.8503548387096774,0.500225806451613
139,1000,0.2,barabassi,0.3157894736842105,1.0,0.4,0.01,0.6,0.8483870967741935,0.49670967741935484
140,1000,0.2,barabassi,0.3684210526315789,0.0,0.4,0.01,0.6,0.7999354838709677,0.6467419354838709
141,1000,0.2,barabassi,0.3684210526315789,0.05263157894736842,0.4,0.01,0.6,0.824516129032258,0.573
142,1000,0.2,barabassi,0.3684210526315789,0.10526315789473684,0.4,0.01,0.6,0.8381290322580646,0.542741935483871
143,1000,0.2,barabassi,0.3684210526315789,0.15789473684210525,0.4,0.01,0.6,0.8417096774193549,0.5301935483870969
144,1000,0.2,barabassi,0.3684210526315789,0.21052631578947367,0.4,0.01,0.6,0.8464516129032259,0.5153548387096775
145,1000,0.2,barabassi,0.3684210526315789,0.2631578947368421,0.4,0.01,0.6,0.8488387096774194,0.5131290322580645
146,1000,0.2,barabassi,0.3684210526315789,0.3157894736842105,0.4,0.01,0.6,0.8488709677419355,0.5086774193548387
147,1000,0.2,barabassi,0.3684210526315789,0.3684210526315789,0.4,0.01,0.6,0.8480967741935485,0.5106451612903226
148,1000,0.2,barabassi,0.3684210526315789,0.42105263157894735,0.4,0.01,0.6,0.8509677419354839,0.5090967741935484
149,1000,0.2,barabassi,0.3684210526315789,0.47368421052631576,0.4,0.01,0.6,0.8506451612903225,0.5089032258064516
150,1000,0.2,barabassi,0.3684210526315789,0.5263157894736842,0.4,0.01,0.6,0.8517741935483871,0.5100967741935484
151,1000,0.2,barabassi,0.3684210526315789,0.5789473684210527,0.4,0.01,0.6,0.8521935483870968,0.5054516129032258
152,1000,0.2,barabassi,0.3684210526315789,0.631578947368421,0.4,0.01,0.6,0.8506451612903225,0.5039032258064516
153,1000,0.2,barabassi,0.3684210526315789,0.6842105263157894,0.4,0.01,0.6,0.8511612903225806,0.5049354838709678
154,1000,0.2,barabassi,0.3684210526315789,0.7368421052631579,0.4,0.01,0.6,0.8526129032258065,0.5105483870967742
155,1000,0.2,barabassi,0.3684210526315789,0.7894736842105263,0.4,0.01,0.6,0.8477741935483871,0.5061612903225806
156,1000,0.2,barabassi,0.3684210526315789,0.8421052631578947,0.4,0.01,0.6,0.8510645161290323,0.5092903225806452
157,1000,0.2,barabassi,0.3684210526315789,0.894736842105263,0.4,0.01,0.6,0.849,0.5058709677419355
158,1000,0.2,barabassi,0.3684210526315789,0.9473684210526315,0.4,0.01,0.6,0.8519677419354839,0.5116129032258064
159,1000,0.2,barabassi,0.3684210526315789,1.0,0.4,0.01,0.6,0.852,0.5116129032258064
160,1000,0.2,barabassi,0.42105263157894735,0.0,0.4,0.01,0.6,0.8016774193548387,0.6455806451612903
161,1000,0.2,barabassi,0.42105263157894735,0.05263157894736842,0.4,0.01,0.6,0.8286129032258065,0.5798064516129032
162,1000,0.2,barabassi,0.42105263157894735,0.10526315789473684,0.4,0.01,0.6,0.8402903225806452,0.5489677419354839
163,1000,0.2,barabassi,0.42105263157894735,0.15789473684210525,0.4,0.01,0.6,0.8450645161290323,0.5338387096774194
164,1000,0.2,barabassi,0.42105263157894735,0.21052631578947367,0.4,0.01,0.6,0.8488387096774194,0.5284193548387096
165,1000,0.2,barabassi,0.42105263157894735,0.2631578947368421,0.4,0.01,0.6,0.8509032258064516,0.5184193548387096
166,1000,0.2,barabassi,0.42105263157894735,0.3157894736842105,0.4,0.01,0.6,0.8528064516129031,0.5138387096774194
167,1000,0.2,barabassi,0.42105263157894735,0.3684210526315789,0.4,0.01,0.6,0.8522580645161291,0.5170967741935484
168,1000,0.2,barabassi,0.42105263157894735,0.42105263157894735,0.4,0.01,0.6,0.8508387096774194,0.5103870967741936
169,1000,0.2,barabassi,0.42105263157894735,0.47368421052631576,0.4,0.01,0.6,0.8544516129032258,0.5164193548387096
170,1000,0.2,barabassi,0.42105263157894735,0.5263157894736842,0.4,0.01,0.6,0.8496129032258065,0.5061935483870967
171,1000,0.2,barabassi,0.42105263157894735,0.5789473684210527,0.4,0.01,0.6,0.851516129032258,0.5118064516129033
172,1000,0.2,barabassi,0.42105263157894735,0.631578947368421,0.4,0.01,0.6,0.8500967741935485,0.5128064516129032
173,1000,0.2,barabassi,0.42105263157894735,0.6842105263157894,0.4,0.01,0.6,0.8514838709677419,0.5117096774193548
174,1000,0.2,barabassi,0.42105263157894735,0.7368421052631579,0.4,0.01,0.6,0.8513225806451613,0.511
175,1000,0.2,barabassi,0.42105263157894735,0.7894736842105263,0.4,0.01,0.6,0.8473548387096774,0.5064193548387097
176,1000,0.2,barabassi,0.42105263157894735,0.8421052631578947,0.4,0.01,0.6,0.8521290322580645,0.5130322580645161
177,1000,0.2,barabassi,0.42105263157894735,0.894736842105263,0.4,0.01,0.6,0.8515806451612904,0.5114516129032258
178,1000,0.2,barabassi,0.42105263157894735,0.9473684210526315,0.4,0.01,0.6,0.8514516129032258,0.5121935483870969
179,1000,0.2,barabassi,0.42105263157894735,1.0,0.4,0.01,0.6,0.8508064516129031,0.5098387096774193
180,1000,0.2,barabassi,0.47368421052631576,0.0,0.4,0.01,0.6,0.8077096774193548,0.6517096774193549
181,1000,0.2,barabassi,0.47368421052631576,0.05263157894736842,0.4,0.01,0.6,0.8325483870967741,0.586516129032258
182,1000,0.2,barabassi,0.47368421052631576,0.10526315789473684,0.4,0.01,0.6,0.8414516129032259,0.5558064516129032
183,1000,0.2,barabassi,0.47368421052631576,0.15789473684210525,0.4,0.01,0.6,0.8445483870967742,0.5379032258064516
184,1000,0.2,barabassi,0.47368421052631576,0.21052631578947367,0.4,0.01,0.6,0.8490967741935485,0.5257096774193549
185,1000,0.2,barabassi,0.47368421052631576,0.2631578947368421,0.4,0.01,0.6,0.8491935483870968,0.5204516129032258
186,1000,0.2,barabassi,0.47368421052631576,0.3157894736842105,0.4,0.01,0.6,0.8513870967741936,0.5203870967741936
187,1000,0.2,barabassi,0.47368421052631576,0.3684210526315789,0.4,0.01,0.6,0.8529032258064516,0.5230967741935484
188,1000,0.2,barabassi,0.47368421052631576,0.42105263157894735,0.4,0.01,0.6,0.8509354838709677,0.5157096774193549
189,1000,0.2,barabassi,0.47368421052631576,0.47368421052631576,0.4,0.01,0.6,0.8524838709677419,0.514483870967742
190,1000,0.2,barabassi,0.47368421052631576,0.5263157894736842,0.4,0.01,0.6,0.8530645161290323,0.5137419354838709
191,1000,0.2,barabassi,0.47368421052631576,0.5789473684210527,0.4,0.01,0.6,0.8530322580645161,0.5141612903225806
192,1000,0.2,barabassi,0.47368421052631576,0.631578947368421,0.4,0.01,0.6,0.8521612903225806,0.5145806451612903
193,1000,0.2,barabassi,0.47368421052631576,0.6842105263157894,0.4,0.01,0.6,0.8513225806451613,0.5110645161290323
194,1000,0.2,barabassi,0.47368421052631576,0.7368421052631579,0.4,0.01,0.6,0.8525483870967742,0.5183870967741936
195,1000,0.2,barabassi,0.47368421052631576,0.7894736842105263,0.4,0.01,0.6,0.8508387096774194,0.511
196,1000,0.2,barabassi,0.47368421052631576,0.8421052631578947,0.4,0.01,0.6,0.8524838709677419,0.5201935483870969
197,1000,0.2,barabassi,0.47368421052631576,0.894736842105263,0.4,0.01,0.6,0.8526451612903225,0.5159677419354839
198,1000,0.2,barabassi,0.47368421052631576,0.9473684210526315,0.4,0.01,0.6,0.8561290322580645,0.5162903225806451
