nodes,rho,network,beta,lambda,factor,physical_infectivity,hidden_infectivity,aware,infected
100,0.2,barabassi,0.9,0.4,0.01,0.0,0.0,0.9725806451612903,0.5693548387096775
100,0.2,barabassi,0.9,0.5,0.01,0.0,0.0,0.9725806451612903,0.5693548387096775
100,0.2,barabassi,0.9,0.6,0.01,0.0,0.0,0.9725806451612903,0.6006451612903224
100,0.2,barabassi,0.9,0.7,0.01,0.0,0.0,0.9725806451612903,0.6503225806451615
100,0.2,barabassi,0.9,0.8,0.01,0.0,0.0,0.9725806451612903,0.6106451612903228
100,0.2,barabassi,0.9,0.9,0.01,0.0,0.0,0.9725806451612903,0.5693548387096775
100,0.2,barabassi,0.9,1.0,0.01,0.0,0.0,0.9725806451612903,0.6267741935483871
100,0.2,barabassi,1.0,0.0,0.01,0.0,0.0,0.9725806451612903,0.598709677419355
100,0.2,barabassi,1.0,0.1,0.01,0.0,0.0,0.9725806451612903,0.6090322580645163
100,0.2,barabassi,1.0,0.2,0.01,0.0,0.0,0.9725806451612903,0.6690322580645164
100,0.2,barabassi,1.0,0.3,0.01,0.0,0.0,0.9725806451612903,0.6767741935483873
100,0.2,barabassi,1.0,0.4,0.01,0.0,0.0,0.9725806451612903,0.6312903225806451
100,0.2,barabassi,1.0,0.5,0.01,0.0,0.0,0.9725806451612903,0.6267741935483868
100,0.2,barabassi,1.0,0.6,0.01,0.0,0.0,0.9725806451612903,0.6116129032258064
100,0.2,barabassi,1.0,0.7,0.01,0.0,0.0,0.9725806451612903,0.5919354838709677
100,0.2,barabassi,1.0,0.8,0.01,0.0,0.0,0.9725806451612903,0.6380645161290323
100,0.2,barabassi,1.0,0.9,0.01,0.0,0.0,0.9725806451612903,0.5564516129032256
100,0.2,barabassi,1.0,1.0,0.01,0.0,0.0,0.9725806451612903,0.6383870967741935
100,0.2,barabassi,0.0,0.0,0.01,0.0,0.1,0.887741935483871,0.20000000000000007
100,0.2,barabassi,0.0,0.1,0.01,0.0,0.1,0.8929032258064517,0.20000000000000007
