nodes,rho,network,beta,lambda,media,factor,physical_infectivity,hidden_infectivity,aware,infected
100,0.2,barabassi100,0.3,0.5,0.0,0.01,0.0,0.0,0.9272727272727272,0.41545454545454547
100,0.2,barabassi100,0.3,0.7,0.0,0.01,0.0,0.0,0.9272727272727272,0.4218181818181818
100,0.2,barabassi100,0.4,0.0,0.0,0.01,0.0,0.0,0.9272727272727272,0.5009090909090909
100,0.2,barabassi100,0.3,0.8,0.0,0.01,0.0,0.0,0.9272727272727272,0.43363636363636365
100,0.2,barabassi100,0.3,0.9,0.0,0.01,0.0,0.0,0.9272727272727272,0.4063636363636364
100,0.2,barabassi100,0.3,0.6,0.0,0.01,0.0,0.0,0.9272727272727272,0.3963636363636363
100,0.2,barabassi100,0.4,0.1,0.0,0.01,0.0,0.0,0.9272727272727272,0.46636363636363637
100,0.2,barabassi100,0.4,0.2,0.0,0.01,0.0,0.0,0.9272727272727272,0.45363636363636367
100,0.2,barabassi100,0.4,0.3,0.0,0.01,0.0,0.0,0.9272727272727272,0.39454545454545453
100,0.2,barabassi100,0.4,0.4,0.0,0.01,0.0,0.0,0.9272727272727272,0.42818181818181816
100,0.2,barabassi100,0.4,0.5,0.0,0.01,0.0,0.0,0.9272727272727272,0.4518181818181818
100,0.2,barabassi100,0.5,0.1,0.0,0.01,0.0,0.0,0.9272727272727272,0.5436363636363637
100,0.2,barabassi100,0.4,0.6,0.0,0.01,0.0,0.0,0.9272727272727272,0.45363636363636367
100,0.2,barabassi100,0.4,1.0,0.0,0.01,0.0,0.0,0.9272727272727272,0.4872727272727273
100,0.2,barabassi100,0.5,0.0,0.0,0.01,0.0,0.0,0.9272727272727272,0.4990909090909091
100,0.2,barabassi100,0.4,0.8,0.0,0.01,0.0,0.0,0.9272727272727272,0.43454545454545457
100,0.2,barabassi100,0.4,0.7,0.0,0.01,0.0,0.0,0.9272727272727272,0.4645454545454545
100,0.2,barabassi100,0.5,0.3,0.0,0.01,0.0,0.0,0.9272727272727272,0.4881818181818182
100,0.2,barabassi100,0.4,0.9,0.0,0.01,0.0,0.0,0.9272727272727272,0.44727272727272727
100,0.2,barabassi100,0.5,0.2,0.0,0.01,0.0,0.0,0.9272727272727272,0.4645454545454545
